index,geoid20,wt_avg_miles,access_to,aggregation
205,530330053052,0.053440220485342485,all_hct,poc
206,530330053061,0.08872812389149046,all_hct,poc
207,530330053062,0.07945446465784012,all_hct,poc
208,530330053071,0.11334993981551379,all_hct,poc
209,530330053072,0.16618831594519143,all_hct,poc
210,530330053073,0.26094509935978377,all_hct,poc
211,530330054011,0.10578525602950732,all_hct,poc
212,530330054012,0.38258457195058215,all_hct,poc
213,530330054013,0.19443535374742316,all_hct,poc
214,530330054021,0.20075411335220628,all_hct,poc
215,530330054022,0.05097790736103719,all_hct,poc
216,530330054023,0.15850583512762148,all_hct,poc
217,530330056001,1.3670918983503446,all_hct,poc
218,530330056002,1.579742183647561,all_hct,poc
219,530330056003,1.4100066879026951,all_hct,poc
220,530330056004,1.3558249775754856,all_hct,poc
221,530330056005,0.8602409722165322,all_hct,poc
222,530330057001,0.5534805475085807,all_hct,poc
223,530330057002,0.976724368173298,all_hct,poc
224,530330057003,0.9265311613888692,all_hct,poc
225,530330057004,1.04688061999473,all_hct,poc
226,530330057005,0.6896612351342166,all_hct,poc
227,530330058011,0.4037354212925295,all_hct,poc
228,530330058012,0.6258790182407561,all_hct,poc
229,530330058013,0.6704807675142804,all_hct,poc
230,530330058014,0.2532343141545357,all_hct,poc
231,530330058031,0.440604954767466,all_hct,poc
232,530330058032,0.5599411481713436,all_hct,poc
233,530330058041,0.1557685481588468,all_hct,poc
234,530330058042,0.1270711122719697,all_hct,poc
235,530330059011,0.17909869833622874,all_hct,poc
236,530330059012,0.4431753711516669,all_hct,poc
237,530330059013,0.3551826811381464,all_hct,poc
238,530330059021,0.16390078827632798,all_hct,poc
239,530330059022,0.3207200523216635,all_hct,poc
240,530330059023,0.5533548730583041,all_hct,poc
241,530330060001,0.06605916734727814,all_hct,poc
242,530330060002,0.1619195390921778,all_hct,poc
243,530330060003,0.4230787807483595,all_hct,poc
244,530330060004,0.31158700420038427,all_hct,poc
245,530330061001,0.09605169820595334,all_hct,poc
246,530330061002,0.1564436530974414,all_hct,poc
247,530330061003,0.22490749650938804,all_hct,poc
248,530330061004,0.11910703756705285,all_hct,poc
249,530330061005,0.14205527953498187,all_hct,poc
250,530330062001,0.08739755875791635,all_hct,poc
251,530330062002,0.1457712657007664,all_hct,poc
252,530330062003,0.2894602206430113,all_hct,poc
253,530330063001,0.17753345822146438,all_hct,poc
254,530330063002,0.22627213133511181,all_hct,poc
255,530330063003,0.1280355905198875,all_hct,poc
256,530330063004,0.14022170207414678,all_hct,poc
257,530330064001,0.11367563130209471,all_hct,poc
258,530330064002,0.38740170542125246,all_hct,poc
259,530330064003,0.18597103562651107,all_hct,poc
260,530330065001,0.13007359654467943,all_hct,poc
261,530330065002,0.17886930461243009,all_hct,poc
262,530330065003,0.15273443415764462,all_hct,poc
263,530330066001,0.10434671675717257,all_hct,poc
264,530330066002,0.12482480744980604,all_hct,poc
265,530330066003,0.20395766912969232,all_hct,poc
266,530330067011,0.0860348257806431,all_hct,poc
267,530330067012,0.08685658505367212,all_hct,poc
268,530330067013,0.07847011580191775,all_hct,poc
269,530330067021,0.2483752267540037,all_hct,poc
270,530330067022,0.040047844222884016,all_hct,poc
271,530330067023,0.15588017699307827,all_hct,poc
272,530330067031,0.19689374724860084,all_hct,poc
273,530330067032,0.18600655567903726,all_hct,poc
274,530330067033,0.24052321283399325,all_hct,poc
275,530330068001,0.3825150532222492,all_hct,poc
276,530330068002,0.5878050329783232,all_hct,poc
277,530330068003,0.6045285135311617,all_hct,poc
278,530330069001,0.34325133494153254,all_hct,poc
279,530330069002,0.41059554846720286,all_hct,poc
280,530330069003,0.2963205859781832,all_hct,poc
281,530330070011,0.32735955598014976,all_hct,poc
282,530330070012,0.11540606896258211,all_hct,poc
283,530330070013,0.10919231948283706,all_hct,poc
284,530330070021,0.42790468412549126,all_hct,poc
285,530330070022,0.29236595336203547,all_hct,poc
286,530330070023,0.15824944245186495,all_hct,poc
287,530330071011,0.17059156678894094,all_hct,poc
288,530330071012,0.1496375848465904,all_hct,poc
289,530330071021,0.17656763757682611,all_hct,poc
290,530330071022,0.15501763888532866,all_hct,poc
291,530330072011,0.05958725523904315,all_hct,poc
292,530330072012,0.14783549599914045,all_hct,poc
293,530330072013,0.07067998364314475,all_hct,poc
294,530330072021,0.05391595153494065,all_hct,poc
295,530330072022,0.06025890489064371,all_hct,poc
296,530330072023,0.07401489133381778,all_hct,poc
297,530330072031,0.04459089720388949,all_hct,poc
298,530330072032,0.11752026223935202,all_hct,poc
299,530330073011,0.1335859891961416,all_hct,poc
300,530330073012,0.11805543950168361,all_hct,poc
301,530330073013,0.21732187002771827,all_hct,poc
302,530330073021,0.08199072358869636,all_hct,poc
303,530330073022,0.09218992444828272,all_hct,poc
304,530330073023,0.05893523019533001,all_hct,poc
305,530330073031,0.07292764978801747,all_hct,poc
306,530330073032,0.050137757713222764,all_hct,poc
307,530330073033,0.04688162141425885,all_hct,poc
308,530330074031,0.08210665547850213,all_hct,poc
309,530330074032,0.10693227430844535,all_hct,poc
310,530330074041,0.2382756424698949,all_hct,poc
311,530330074042,0.21140827035121218,all_hct,poc
312,530330074051,0.06950918971874528,all_hct,poc
313,530330074052,0.0965647464709463,all_hct,poc
314,530330074061,0.10399545000838045,all_hct,poc
315,530330074062,0.048022712821561814,all_hct,poc
316,530330075011,0.0695532533356405,all_hct,poc
317,530330075012,0.12760122352066552,all_hct,poc
318,530330075013,0.19193702145676303,all_hct,poc
319,530330075021,0.11810158822574897,all_hct,poc
320,530330075022,0.07480061929343892,all_hct,poc
321,530330075023,0.0675171648803645,all_hct,poc
322,530330075031,0.0716954125364374,all_hct,poc
323,530330075032,0.10641694368441337,all_hct,poc
324,530330076001,0.21808919151601097,all_hct,poc
325,530330076002,0.06978888362293792,all_hct,poc
326,530330076003,0.09849071477268369,all_hct,poc
327,530330077001,0.2569861365936675,all_hct,poc
328,530330077002,0.08148700201116223,all_hct,poc
